tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|TNPH|Tian'an Pharmaceutical Co., Ltd. Common Stock|OTCX OTC LINK ECN ATS|OTCX|11425|2|2019-06-24
OTC|TNRG|Thunder Energies Corp. Common Stock|ARCA GLOBAL OTC|ARCA|1250875|19|2019-06-24
OTC|TNRG|Thunder Energies Corp. Common Stock|OTCX OTC LINK ECN ATS|OTCX|388525|12|2019-06-24
OTC|TNTRQ|TINTRI INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|4000|3|2019-06-24
OTC|TNTY|True Nature Holding, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|99900|11|2019-06-24
OTC|TOELY|Tokyo Electron Ltd Unsponsored ADR (Japan)|ARCA GLOBAL OTC|ARCA|31193|106|2019-06-24
OTC|TOELY|Tokyo Electron Ltd Unsponsored ADR (Japan)|OTCX OTC LINK ECN ATS|OTCX|2740|7|2019-06-24
OTC|TOFB|Tofutti Brands Inc Common Stock|ARCA GLOBAL OTC|ARCA|250|3|2019-06-24
OTC|TOFB|Tofutti Brands Inc Common Stock|OTCX OTC LINK ECN ATS|OTCX|100|1|2019-06-24
OTC|TOGL|Toga Limited Common Stock|ARCA GLOBAL OTC|ARCA|27500|6|2019-06-24
OTC|TOGL|Toga Limited Common Stock|OTCX OTC LINK ECN ATS|OTCX|13500|3|2019-06-24
OTC|TOMDF|Todos Med Ltd Ordinary Shares (Israel)|ARCA GLOBAL OTC|ARCA|34874|2|2019-06-24
OTC|TOPPY|Toppan Printing Ltd Ord Sponsored ADR (Japan)|ARCA GLOBAL OTC|ARCA|64|1|2019-06-24
OTC|TOPZ|Topaz Resources, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|1000|1|2019-06-24
OTC|TOSYY|Toshiba Corp Unsponsored ADR (Japan)|ARCA GLOBAL OTC|ARCA|7878|27|2019-06-24
OTC|TOSYY|Toshiba Corp Unsponsored ADR (Japan)|OTCX OTC LINK ECN ATS|OTCX|802|2|2019-06-24
OTC|TOWTF|Tower One Wireless Corp Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|30000|6|2019-06-24
OTC|TPCS|Techprecision Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|6600|8|2019-06-24
OTC|TPII|Triad Pro Innovators, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|11557|5|2019-06-24
OTC|TPLMQ|TRIANGLE PETE CORP Common Stock|ARCA GLOBAL OTC|ARCA|270160|9|2019-06-24
OTC|TPLMQ|TRIANGLE PETE CORP Common Stock|OTCX OTC LINK ECN ATS|OTCX|196000|5|2019-06-24
OTC|TPNI|The Pulse Network, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|775000|3|2019-06-24
OTC|TPNI|The Pulse Network, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|425714|2|2019-06-24
