tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTCE|AFSIA|Amtrust Financial Services, Inc. 6.75% Non-Cumulative Preferred Stock, Series A|De Minimis Firms|18248|46|2019-06-03
OTCE|AFSIB|AmTrust Financial Services, Inc. Depositary Shares, each Representing 1/40th of a Share of 7.25% Non Cumulative Preferred Stock, Series B|De Minimis Firms|24247|59|2019-06-03
OTCE|AFSIC|Amtrust Financial Services, Inc. Depositary Shares , Each Representing 1/40 th Interest in a Share of 7.625% Non-Cumulative Preferred Stock, Series C|De Minimis Firms|12961|41|2019-06-03
OTCE|AFSIM|AmTrust Financial Services, Inc. Depositary Shares, each Representing 1/40th of a Share of 7.75% Non-Cumulative Preferred Stock, Series E|De Minimis Firms|223731|81|2019-06-03
OTCE|AFSIN|AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40 th Interest in a Share of 6.95% Non-Cumulative Preferred Stock, Series F|De Minimis Firms|336068|120|2019-06-03
OTCE|AFSIP|AmTrust Financial Services, Inc. Depositary Shares , Each Representing 1/40 th Interest in a Share of 7.50% Non-Cumulative Preferred Stock, Series D|De Minimis Firms|67382|130|2019-06-03
OTCE|AFTC|Alternative Fuel Technologies Inc Common Stock|De Minimis Firms|840263|8|2019-06-03
OTCE|AFTM|AfterMaster, Inc. Common Stock|De Minimis Firms|1002642|31|2019-06-03
OTCE|AFTPF|Afterpay Touch Group Ltd Ordinary Shares (Australia)|De Minimis Firms|3744|22|2019-06-03
OTCE|AFYG|Affinity Gold Corp. Common Stocks|De Minimis Firms|20200|2|2019-06-03
OTCE|AGAAF|Altagas Canada Inc Common Shares (Canada)|De Minimis Firms|68|1|2019-06-03
OTCE|AGCBF|Amarillo Gold Corporation Ordinary Shares (Canada)|De Minimis Firms|66310|6|2019-06-03
OTCE|AGCCF|Gensource Potash Corp. Ordinary Shares (Canada)|De Minimis Firms|39123|10|2019-06-03
OTCE|AGCZ|Andes Gold Corp. Common Stock|De Minimis Firms|47800|5|2019-06-03
OTCE|AGDXF|Antioquia Gold Inc Ordinary Shares (Canada)|De Minimis Firms|89000|6|2019-06-03
OTCE|AGDY|Agri-Dynamics Inc Common Stock|De Minimis Firms|8105|3|2019-06-03
OTCE|AGEEF|Halo Labs Inc Ordinary Shares|De Minimis Firms|1397556|549|2019-06-03
OTCE|AGESF|Ageas NV Ordinary Shares (Belgium)|De Minimis Firms|12235|1|2019-06-03
OTCE|AGESY|Ageas Sponsored ADR (Belgium)|De Minimis Firms|10447|124|2019-06-03
OTCE|AGFMF|A G F Mgmt Ltd Cl B Non Vtg Ordinary Shares|De Minimis Firms|200|2|2019-06-03
OTCE|AGFXF|DB Agriculture Long ETN due April 1, 2038 (Germany)|De Minimis Firms|400|3|2019-06-03
OTCE|AGGFD|African Gold Group Inc Ordinary Shares|De Minimis Firms|305|5|2019-06-03
OTCE|AGGHF|Agrios Global Holdings Ltd Common Shares  Canada (CA)|De Minimis Firms|68713|44|2019-06-03
OTCE|AGGI|Allied Energy, Inc. Common Stock|De Minimis Firms|20010|3|2019-06-03
OTCE|AGGL|AgTech Global International, Inc. Common Stock|De Minimis Firms|1000|1|2019-06-03
OTCE|AGGX|AngioGenex, Inc. Common Stock|De Minimis Firms|5050|2|2019-06-03
OTCE|AGGZF|AG Growth International Inc. Common Shares (Canada)|De Minimis Firms|465|7|2019-06-03
OTCE|AGHC|Aeon Global Health Corp. Common Stock|De Minimis Firms|15913|17|2019-06-03
OTCE|AGHEF|Agility Health, Inc. USD Vtg Ordinary Shares (Cayman Islands)|De Minimis Firms|420|1|2019-06-03
OTCE|AGHI|Agora Holdings Inc Common Stock|De Minimis Firms|252995|104|2019-06-03
OTCE|AGIN|American Graphite Technologies Inc. Common Stock|De Minimis Firms|29353|11|2019-06-03
OTCE|AGLDF|Austral Gold Ltd Ordinary shares (Australia)|De Minimis Firms|4452|4|2019-06-03
OTCE|AGLNF|AGL Energy Ltd Ordinary Shares|De Minimis Firms|68|1|2019-06-03
OTCE|AGLXY|AGL Energy Ltd American Depositary Receipts - Sponsored (Australia)|De Minimis Firms|2750|20|2019-06-03
OTCE|AGMJF|Algoma Cent Corp (F) Ordinary Shares|De Minimis Firms|1666|15|2019-06-03
OTCE|AGPDF|Amer Sports Corporation Ordinary Shares (Finland)|De Minimis Firms|2101|1|2019-06-03
OTCE|AGPDY|Amer Sports Corporation Sponsored ADR (Finland)|De Minimis Firms|498|8|2019-06-03
OTCE|AGPPF|Anglo Platinum Ltd Ordinary Shares (South Africa)|De Minimis Firms|1440|10|2019-06-03
OTCE|AGPYF|Agile Property Holdings Limited Ordinary Shares (Cayman Islands)|De Minimis Firms|42000|1|2019-06-03
OTCE|AGRDF|Minnova Corp. Ordinary Shares (Canada)|De Minimis Firms|5000|1|2019-06-03
OTCE|AGRPY|Absa Group Ltd American Depositary Receipts - Sponsored|De Minimis Firms|1875|16|2019-06-03
OTCE|AGRS|Agristar, Inc. Common Stock|De Minimis Firms|15000|2|2019-06-03
OTCE|AGSO|AgriSolar Solutions, Inc. Common Stock|De Minimis Firms|91420|3|2019-06-03
OTCE|AGTK|Agritek Holdings, Inc Common Stock|De Minimis Firms|86979|148|2019-06-03
OTCE|AGTT|Angstrom Technologies, Inc. Common Stock|De Minimis Firms|49000|8|2019-06-03
OTCE|AGUNF|Arctic Glacier Income Fund Trust Units (Canada)|De Minimis Firms|69000|1|2019-06-03
OTCE|AGXLW|Agiliti Inc Warrant 07/24/2022|De Minimis Firms|200000|2|2019-06-03
OTCE|AHAD|Alphacom Holdings, Inc. Common Stock|De Minimis Firms|5924|7|2019-06-03
OTCE|AHCHF|Anhui Conch Cement Shares -H-Ordinary Shares|De Minimis Firms|3002|16|2019-06-03
OTCE|AHCHY|Anhui Conch Cement Unsponsored ADR representing Shares -H- (China)|De Minimis Firms|49376|291|2019-06-03
OTCE|AHCP|Anchorage International Holdings Corp. Common Stock|De Minimis Firms|9294|5|2019-06-03
OTCE|AHELF|American Helium Inc. Ordinary Shares|De Minimis Firms|17999|8|2019-06-03
OTCE|AHEXF|Adecco Group AG Ordinary Shares|De Minimis Firms|25|1|2019-06-03
OTCE|AHEXY|Adecco Group AG American Depositary Receipts - Unsponsored|De Minimis Firms|19340|252|2019-06-03
OTCE|AHFCF|Flow Cap Corp Ordinary Shares|De Minimis Firms|2603|1|2019-06-03
OTCE|AHFD|Active Health Foods, Inc. Common Stock|De Minimis Firms|250003|2|2019-06-03
OTCE|AHFI|Absolute Health and Fitness, Inc. Common Stock|De Minimis Firms|800|3|2019-06-03
OTCE|AHFP|Artisanal Brands, Inc. Common Stock|De Minimis Firms|4000|1|2019-06-03
OTCE|AHGIF|Alternate Health Corp. Ordinary Shares (Canada)|De Minimis Firms|40792|35|2019-06-03
OTCE|AHII|American Heritage International Inc. Common Stock|De Minimis Firms|202|2|2019-06-03
OTCE|AHIX|Aluf Holdings, Inc. Common Stock|De Minimis Firms|719396544|899|2019-06-03
OTCE|AHKSF|Asahi Kaisai Corporation Ordinary Shares|De Minimis Firms|557|4|2019-06-03
OTCE|AHKSY|Asahi Kaisai Corporation American Depositary Shares|De Minimis Firms|180760|574|2019-06-03
OTCE|AHODF|Koninklijke Ahold Delhaize N V  Ordinary Shares|De Minimis Firms|1884|3|2019-06-03
OTCE|AHOTF|American Hotel Income Properties REIT LP Unit Limited Partnership Int (Canada)|De Minimis Firms|45244|124|2019-06-03
OTCE|AHROQ|Atheronova, Inc.Common Stock|De Minimis Firms|100|1|2019-06-03
OTCE|AIBRF|AIB Group PLC EUR 2.47 Ordinary Shares (Ireland)|De Minimis Firms|444|5|2019-06-03
OTCE|AICAF|Air China Ltd Shares H (China)|De Minimis Firms|525|2|2019-06-03
OTCE|AIDA|AIDA Pharmaceuticals, Inc. Common Stock|De Minimis Firms|2500|1|2019-06-03
OTCE|AIFS|Agent Information Software, Inc. Common Stock|De Minimis Firms|16629|28|2019-06-03
OTCE|AIKO|Alternative Investment Corporation Common Stock|De Minimis Firms|3|1|2019-06-03
OTCE|AILIP|Ameren Illinois Company 4.20% Cumulative Preferred Stock|De Minimis Firms|3|2|2019-06-03
OTCE|AILLN|Ameren Illinois Company 4.90% Preferred Stock|De Minimis Firms|1960|8|2019-06-03
OTCE|AILLO|Ameren Illinois Company 4.25% Preferred Stock|De Minimis Firms|100|1|2019-06-03
OTCE|AILLP|Ameren Illinois Company 4.00% Preferred Stock|De Minimis Firms|191|7|2019-06-03
OTCE|AIMH|Aimrite Holdings Corp Common Stock|De Minimis Firms|14400|3|2019-06-03
OTCE|AIOAF|Sarossa PLC Ordinary Shares|De Minimis Firms|15|2|2019-06-03
OTCE|AIOSF|Atresmedia Corporacion De Medios De Comunicacion SA Ordinary Shares (Spain)|De Minimis Firms|596|2|2019-06-03
OTCE|AIPUY|Airports of Thailand Public Co Ltd Unsponsored ADR (Thailand)|De Minimis Firms|1485|10|2019-06-03
OTCE|AIQUF|L'Air Liquide Ord Ordinary Shares|De Minimis Firms|78|4|2019-06-03
OTCE|AIQUY|L'Air Liquide Ord American Depositary Shares|De Minimis Firms|153576|883|2019-06-03
OTCE|AIRO|Airspan Networks Inc. Common Stock|De Minimis Firms|4|1|2019-06-03
OTCE|AIRRF|Aurion Resources, Ltd. Ordinary Shares (Canada)|De Minimis Firms|47905|42|2019-06-03
OTCE|AIRYY|Air China Limited Sponsored ADR (China)|De Minimis Firms|2|1|2019-06-03
OTCE|AISSF|AIS Res Ltd Ordinary Shares (Bahamas)|De Minimis Firms|9000|2|2019-06-03
OTCE|AITA|Wunong Asia Pacific Company Limited Common Stock|De Minimis Firms|14361|37|2019-06-03
OTCE|AITB|AIT Therapeutics, Inc. Common Stock|De Minimis Firms|94415|319|2019-06-03
OTCE|AITX|ARTIFICIAL INTELLIGENCE TECHNOLOGY SOLUTIONS INC. Common Stock|De Minimis Firms|7528415|114|2019-06-03
OTCE|AIVAF|Aviva plc Ordinary Shares (United Kingdom)|De Minimis Firms|25133|1|2019-06-03
OTCE|AIVN|American International Ventures, Inc. Common Stock|De Minimis Firms|26510|3|2019-06-03
OTCE|AIXN|AiXin Life International, Inc. Common Stock|De Minimis Firms|2600|7|2019-06-03
OTCE|AIXXF|AIXTRON SE  Namen - AKT|De Minimis Firms|1498|3|2019-06-03
OTCE|AJINY|Ajinomoto Company, Inc. American Depositary Shares|De Minimis Firms|2499|14|2019-06-03
OTCE|AJMPF|Ashmore Group Plc Ordinary shares (United Kingdom)|De Minimis Firms|8628|22|2019-06-03
OTCE|AJXGF|AgJunction  Inc Ordinary Shares|De Minimis Firms|24600|10|2019-06-03
OTCE|AKABY|Alk Abello A S Sponsored ADR (Denmark)|De Minimis Firms|100|1|2019-06-03
OTCE|AKAOQ|ACHAOGEN INC Common Stock|De Minimis Firms|14546504|2825|2019-06-03
OTCE|AKBIF|Akebono Brake Industries Ordinary Shares|De Minimis Firms|200|1|2019-06-03
